full_address,latitude,longitude
"SERANGOON, SERANGOON NTH AVE 2, block 139, Singapore",1.3646649,103.8722762
"WOODLANDS, MARSILING LANE, block 215, Singapore",1.4476136,103.7720555
"PASIR RIS, PASIR RIS DR 3, block 631, Singapore",1.3789831,103.9401988
"SENGKANG, RIVERVALE DR, block 187A, Singapore",1.393737,103.905399
"PUNGGOL, PUNGGOL DR, block 664B, Singapore",1.4000792,103.9178359
"YISHUN, YISHUN RING RD, block 363, Singapore",1.4289271,103.845575
"GEYLANG, CIRCUIT RD, block 83B, Singapore",1.3236208,103.8896242
"TAMPINES, TAMPINES ST 21, block 269, Singapore",1.3506959,103.9481555
"YISHUN, YISHUN ST 21, block 229, Singapore",1.4349157,103.8371676
"WOODLANDS, WOODLANDS DR 16, block 540, Singapore",1.428469,103.7926025
"HOUGANG, BUANGKOK CRES, block 981B, Singapore",1.3804881,103.8801181
"BUKIT MERAH, TELOK BLANGAH CRES, block 14, Singapore",1.2775268,103.8203606
"TAMPINES, TAMPINES ST 71, block 713, Singapore",1.3594085,103.9376985
"BUKIT PANJANG, SENJA RD, block 602, Singapore",1.3814435,103.7627315
"GEYLANG, CIRCUIT RD, block 37, Singapore",1.3280546,103.8867459
"SERANGOON, SERANGOON AVE 3, block 334, Singapore",1.350122,103.8707895
"BUKIT BATOK, BT BATOK EAST AVE 6, block 292C, Singapore",1.3448798,103.7534425
"WOODLANDS, WOODLANDS DR 50, block 891B, Singapore",1.4378806,103.7905649
"ANG MO KIO, ANG MO KIO AVE 10, block 553, Singapore",1.3725587,103.8572434
"PASIR RIS, PASIR RIS DR 1, block 637, Singapore",1.3767685,103.9403428
"WOODLANDS, WOODLANDS DR 50, block 897B, Singapore",1.4361204,103.793825
"YISHUN, YISHUN AVE 3, block 770, Singapore",1.4244403,103.832508
"TAMPINES, SIMEI ST 1, block 127, Singapore",1.3466001,103.9543044
"BUKIT BATOK, BT BATOK WEST AVE 8, block 165, Singapore",1.3473782,103.7420015
"WOODLANDS, WOODLANDS RING RD, block 644, Singapore",1.4370007,103.8016456
"JURONG WEST, BOON LAY DR, block 180B, Singapore",1.3479769,103.7091426
"SENGKANG, RIVERVALE CRES, block 163C, Singapore",1.3895594,103.9082027
"WOODLANDS, WOODLANDS DR 60, block 786D, Singapore",1.446617,103.8009903
"SEMBAWANG, MONTREAL LINK, block 590B, Singapore",1.4501003,103.8270738
"PUNGGOL, EDGEFIELD PLAINS, block 615C, Singapore",1.4035035,103.9103192
"WOODLANDS, WOODLANDS DR 73, block 686B, Singapore",1.4426632,103.8067441
"BEDOK, BEDOK STH RD, block 38, Singapore",1.3208629,103.9387452
"TAMPINES, TAMPINES AVE 4, block 807, Singapore",1.3458829,103.9361065
"WOODLANDS, WOODLANDS DR 62, block 681A, Singapore",1.4381922,103.7889597
"YISHUN, YISHUN AVE 3, block 774, Singapore",1.4235547,103.831938
"PUNGGOL, PUNGGOL FIELD, block 269A, Singapore",1.4030497,103.8991474
"CHOA CHU KANG, CHOA CHU KANG CRES, block 671, Singapore",1.4025549,103.7479578
"JURONG WEST, JURONG WEST ST 65, block 673C, Singapore",1.344754,103.7013019
"BUKIT MERAH, LENGKOK BAHRU, block 51, Singapore",1.2879106,103.8128955
"TAMPINES, TAMPINES ST 32, block 385, Singapore",1.3549569,103.9584293
"WOODLANDS, WOODLANDS DR 14, block 535, Singapore",1.4311751,103.792059
"WOODLANDS, WOODLANDS AVE 1, block 570C, Singapore",1.4314397,103.7900166
"SENGKANG, RIVERVALE DR, block 117C, Singapore",1.383378,103.903215
"PASIR RIS, PASIR RIS ST 21, block 207, Singapore",1.3662104,103.9620104
"BISHAN, BISHAN ST 13, block 156, Singapore",1.3455446,103.8566537
"PASIR RIS, PASIR RIS ST 71, block 772, Singapore",1.3753309,103.9368543
"PASIR RIS, PASIR RIS DR 1, block 530C, Singapore",1.3716826,103.9501178
"CENTRAL AREA, JLN KUKOH, block 8, Singapore",1.2873882,103.8394154
"ANG MO KIO, ANG MO KIO AVE 10, block 418, Singapore",1.3650267,103.854012
"BUKIT BATOK, BT BATOK ST 11, block 140, Singapore",1.3508437,103.7437142
"SENGKANG, ANCHORVALE LINK, block 318B, Singapore",1.3940807,103.8887884
"PASIR RIS, PASIR RIS ST 52, block 501, Singapore",1.3762288,103.9459643
"SENGKANG, ANCHORVALE LINK, block 302B, Singapore",1.3880653,103.8905354
"YISHUN, YISHUN AVE 9, block 318A, Singapore",1.4341054,103.8436132
"BUKIT MERAH, HAVELOCK RD, block 57, Singapore",1.2901599,103.8285502
"BEDOK, BEDOK STH AVE 1, block 1, Singapore",1.3208678,103.9337086
"HOUGANG, LOR AH SOO, block 130, Singapore",1.3512905,103.8864933
"SENGKANG, ANCHORVALE LINK, block 305B, Singapore",1.389262,103.8885293
"PUNGGOL, PUNGGOL PL, block 306C, Singapore",1.4064212,103.9060163
"CENTRAL AREA, UPP CROSS ST, block 34, Singapore",1.2861551,103.8422545
"ANG MO KIO, ANG MO KIO ST 52, block 588D, Singapore",1.3718012,103.8539574
"SENGKANG, COMPASSVALE RD, block 258C, Singapore",1.3934411,103.8974722
"BUKIT BATOK, BT BATOK ST 51, block 528, Singapore",1.35669,103.7512615
"SENGKANG, ANCHORVALE ST, block 330A, Singapore",1.3966169,103.8899436
"PUNGGOL, PUNGGOL PL, block 208B, Singapore",1.401445,103.9011576
"KALLANG/WHAMPOA, LOR LIMAU, block 76, Singapore",1.325219,103.8543559
"BEDOK, BEDOK NTH RD, block 185, Singapore",1.3261717,103.94082
"HOUGANG, HOUGANG AVE 8, block 613, Singapore",1.3696351,103.8847027
"BUKIT PANJANG, SENJA LINK, block 653, Singapore",1.3869705,103.7639323
"JURONG WEST, JURONG WEST CTRL 1, block 694, Singapore",1.3433361,103.7069553
"GEYLANG, PAYA LEBAR WAY, block 91, Singapore",1.3227005,103.8866982
"BUKIT PANJANG, BT PANJANG RING RD, block 609, Singapore",1.3827897,103.7620826
"QUEENSTOWN, DAWSON RD, block 90, Singapore",1.2954689,103.8121066
"BUKIT BATOK, BT BATOK ST 34, block 351, Singapore",1.3618306,103.7494392
"PASIR RIS, PASIR RIS ST 51, block 551, Singapore",1.3675604,103.9530736
"SENGKANG, FERNVALE LINK, block 430C, Singapore",1.3951289,103.87812
"SENGKANG, RIVERVALE ST, block 141, Singapore",1.3896056,103.904138
"TAMPINES, TAMPINES ST 24, block 218, Singapore",1.3544243,103.952514
"HOUGANG, HOUGANG ST 91, block 970, Singapore",1.3786378,103.8804826
"BUKIT MERAH, JLN RUMAH TINGGI, block 39, Singapore",1.2887252,103.8100948
"KALLANG/WHAMPOA, GEYLANG BAHRU, block 57, Singapore",1.3234434,103.8690181
"BUKIT PANJANG, BT PANJANG RING RD, block 434, Singapore",1.3853751,103.7708477
"WOODLANDS, WOODLANDS CIRCLE, block 751, Singapore",1.4450299,103.7941629
"BEDOK, BEDOK NTH AVE 4, block 106, Singapore",1.3284309,103.9349087
"SENGKANG, COMPASSVALE LINK, block 269D, Singapore",1.3833818,103.8966781
"PUNGGOL, PUNGGOL CTRL, block 622C, Singapore",1.4007295,103.910797
"WOODLANDS, WOODLANDS ST 41, block 428, Singapore",1.4269765,103.7725981
"PUNGGOL, PUNGGOL DR, block 665C, Singapore",1.4015138,103.9144217
"BEDOK, BEDOK NTH ST 3, block 526, Singapore",1.3256355,103.9295201
"JURONG EAST, TEBAN GDNS RD, block 20, Singapore",1.3220276,103.7413652
"BISHAN, BISHAN ST 24, block 275A, Singapore",1.3566867,103.8435047
"PUNGGOL, PUNGGOL DR, block 619D, Singapore",1.4021459,103.9111893
"BUKIT MERAH, TELOK BLANGAH WAY, block 33, Singapore",1.2742136,103.822405
"BUKIT MERAH, KIM TIAN RD, block 127A, Singapore",1.2819789,103.8296665
"QUEENSTOWN, DAWSON RD, block 88, Singapore",1.2959431,103.8093608
"BUKIT PANJANG, SEGAR RD, block 548A, Singapore",1.3890004,103.7681433
"BISHAN, BISHAN ST 13, block 186, Singapore",1.3494126,103.8525434
"HOUGANG, HOUGANG ST 61, block 698A, Singapore",1.3753138,103.8873487
"YISHUN, YISHUN ST 11, block 155, Singapore",1.4319433,103.8342609
"BEDOK, BEDOK NTH ST 3, block 530, Singapore",1.3256355,103.9295201
"HOUGANG, HOUGANG ST 91, block 910, Singapore",1.378888,103.8828207
"JURONG WEST, JURONG WEST CTRL 1, block 683B, Singapore",1.3423272,103.7049902
"PASIR RIS, PASIR RIS DR 6, block 475, Singapore",1.3751425,103.9572993
"WOODLANDS, WOODLANDS ST 13, block 101, Singapore",1.4359346,103.781918
"HOUGANG, HOUGANG AVE 1, block 232, Singapore",1.3587044,103.8886968
"YISHUN, YISHUN ST 51, block 505D, Singapore",1.4187848,103.8440716
"SEMBAWANG, SEMBAWANG CRES, block 336, Singapore",1.4469198,103.8156181
"QUEENSTOWN, HOLLAND AVE, block 2, Singapore",1.3095268,103.7956732
"BEDOK, CHAI CHEE RD, block 61, Singapore",1.32509,103.9207491
"BUKIT PANJANG, FAJAR RD, block 443C, Singapore",1.3804253,103.7700111
"ANG MO KIO, ANG MO KIO AVE 4, block 171, Singapore",1.3747879,103.8356461
"TOA PAYOH, POTONG PASIR AVE 1, block 120, Singapore",1.3357596,103.8634995
"JURONG WEST, JURONG WEST ST 75, block 735, Singapore",1.3459965,103.7009082
"SENGKANG, COMPASSVALE CRES, block 293D, Singapore",1.3963226,103.8953091
"YISHUN, YISHUN CTRL, block 303, Singapore",1.4303668,103.8400579
"GEYLANG, EUNOS CRES, block 32, Singapore",1.3203353,103.9010982
"CHOA CHU KANG, CHOA CHU KANG ST 62, block 601, Singapore",1.3969291,103.7449361
"ANG MO KIO, ANG MO KIO AVE 4, block 610, Singapore",1.3798338,103.8393673
"SENGKANG, SENGKANG WEST WAY, block 448B, Singapore",1.393396,103.873174
"HOUGANG, UPP SERANGOON CRES, block 473D, Singapore",1.3766934,103.9017568
"BUKIT PANJANG, BT PANJANG RING RD, block 533, Singapore",1.3848825,103.7636642
"GEYLANG, CIRCUIT RD, block 41, Singapore",1.3271464,103.8861717
"HOUGANG, HOUGANG AVE 10, block 402, Singapore",1.3745264,103.8965915
"BEDOK, BEDOK RESERVOIR RD, block 710, Singapore",1.3356353,103.9237795
"TAMPINES, TAMPINES ST 21, block 266, Singapore",1.351959,103.9504051
"TAMPINES, TAMPINES ST 44, block 470, Singapore",1.3608544,103.9545991
"BEDOK, BEDOK RESERVOIR RD, block 103, Singapore",1.3287437,103.9093447
"BEDOK, BEDOK NTH AVE 1, block 424, Singapore",1.3284637,103.9350757
"JURONG WEST, HO CHING RD, block 119, Singapore",1.3350991,103.7244363
"PASIR RIS, PASIR RIS ST 53, block 571, Singapore",1.3731053,103.9456887
"TAMPINES, TAMPINES ST 71, block 711, Singapore",1.3585106,103.937144
"SEMBAWANG, SEMBAWANG CL, block 332, Singapore",1.4466333,103.8172067
"JURONG WEST, BOON LAY DR, block 197B, Singapore",1.3439279,103.7136055
"WOODLANDS, WOODLANDS RING RD, block 669, Singapore",1.4383288,103.7983975
"PUNGGOL, EDGEDALE PLAINS, block 683A, Singapore",1.4043624,103.915319
"PASIR RIS, PASIR RIS ST 12, block 195, Singapore",1.3660929,103.9602198
"WOODLANDS, WOODLANDS RISE, block 783C, Singapore",1.4465129,103.8037202
"CLEMENTI, CLEMENTI AVE 5, block 339, Singapore",1.3195385,103.7691523
"SERANGOON, SERANGOON CTRL, block 415, Singapore",1.3497557,103.874483
"SERANGOON, SERANGOON NTH AVE 4, block 527, Singapore",1.3646834,103.8722097
"BUKIT PANJANG, SEGAR RD, block 485, Singapore",1.38868,103.7713881
"BUKIT PANJANG, BT PANJANG RING RD, block 620, Singapore",1.385886,103.761712
"BUKIT BATOK, BT BATOK WEST AVE 5, block 395, Singapore",1.3663726,103.752176
"HOUGANG, HOUGANG CTRL, block 852, Singapore",1.3697042,103.8937609
"HOUGANG, BUANGKOK CRES, block 998B, Singapore",1.3842591,103.8803524
"SEMBAWANG, SEMBAWANG DR, block 471, Singapore",1.4518846,103.8156856
"GEYLANG, ALJUNIED CRES, block 105, Singapore",1.3195168,103.882771
"BUKIT MERAH, BOON TIONG RD, block 9A, Singapore",1.2869254,103.8285773
"WOODLANDS, WOODLANDS DR 70, block 717, Singapore",1.4409093,103.7995067
"SENGKANG, FERNVALE LINK, block 430A, Singapore",1.3935997,103.8784341
"BEDOK, BEDOK RESERVOIR RD, block 140, Singapore",1.3349599,103.9133172
"SENGKANG, FERNVALE LINK, block 415B, Singapore",1.3889672,103.8801681
"TAMPINES, TAMPINES AVE 4, block 810, Singapore",1.3464705,103.9366275
"SENGKANG, COMPASSVALE LANE, block 209A, Singapore",1.3837172,103.8983764
"BUKIT MERAH, BT PURMEI RD, block 110, Singapore",1.2738047,103.8270224
"PUNGGOL, PUNGGOL WALK, block 272D, Singapore",1.4027537,103.9005677
"SENGKANG, ANCHORVALE LINK, block 332B, Singapore",1.3954085,103.8913595
"YISHUN, YISHUN ST 51, block 513C, Singapore",1.4153257,103.8437578
"BUKIT MERAH, EVERTON PK, block 2, Singapore",1.2773698,103.8394239
"KALLANG/WHAMPOA, JLN TENTERAM, block 117B, Singapore",1.3282842,103.8606312
"BISHAN, BISHAN ST 23, block 213, Singapore",1.3572815,103.8481263
"SENGKANG, ANCHORVALE LINK, block 306A, Singapore",1.3903492,103.8890258
"YISHUN, YISHUN AVE 4, block 664, Singapore",1.4202366,103.8410543
"CHOA CHU KANG, CHOA CHU KANG AVE 1, block 808B, Singapore",1.3756237,103.7458054
"WOODLANDS, WOODLANDS DR 50, block 886A, Singapore",1.4383025,103.794548
"WOODLANDS, WOODLANDS DR 75, block 687C, Singapore",1.4418127,103.8065001
"BEDOK, BEDOK RESERVOIR RD, block 713, Singapore",1.3367953,103.9224347
"TAMPINES, TAMPINES ST 21, block 245, Singapore",1.3530645,103.9465558
"PUNGGOL, EDGEDALE PLAINS, block 138, Singapore",1.3933572,103.9097454
"TAMPINES, TAMPINES ST 45, block 494J, Singapore",1.363665,103.9549986
"HOUGANG, HOUGANG AVE 10, block 455, Singapore",1.3774604,103.8955548
"SENGKANG, RIVERVALE CRES, block 185A, Singapore",1.3932122,103.9072246
"QUEENSTOWN, GHIM MOH RD, block 5, Singapore",1.312624,103.7883466
"KALLANG/WHAMPOA, BENDEMEER RD, block 39A, Singapore",1.3202319,103.8663737
"JURONG WEST, KANG CHING RD, block 347, Singapore",1.340367,103.7200919
"BISHAN, BISHAN ST 23, block 206, Singapore",1.3557104,103.84788
"HOUGANG, LOR AH SOO, block 129, Singapore",1.351509,103.8877113
"BUKIT PANJANG, PETIR RD, block 213, Singapore",1.3741736,103.7755463
"PUNGGOL, EDGEFIELD PLAINS, block 114, Singapore",1.3961415,103.9074684
"CENTRAL AREA, CANTONMENT RD, block 1C, Singapore",1.2774501,103.8415656
"HOUGANG, HOUGANG ST 52, block 539, Singapore",1.3775314,103.8901558
"BUKIT BATOK, BT BATOK EAST AVE 5, block 238, Singapore",1.3499087,103.7547714
"QUEENSTOWN, HOLLAND AVE, block 9, Singapore",1.3075755,103.7950392
"ANG MO KIO, ANG MO KIO ST 52, block 588B, Singapore",1.3723279,103.8528624
"CHOA CHU KANG, CHOA CHU KANG AVE 1, block 808D, Singapore",1.3749062,103.7455947
"ANG MO KIO, ANG MO KIO AVE 3, block 128, Singapore",1.3707399,103.8436398
"PUNGGOL, PUNGGOL WAY, block 266A, Singapore",1.4059368,103.8979062
"CHOA CHU KANG, KEAT HONG CL, block 803D, Singapore",1.3730979,103.7442499
"PUNGGOL, PUNGGOL WALK, block 271A, Singapore",1.4036727,103.9004884
"TAMPINES, TAMPINES CTRL 7, block 524B, Singapore",1.3589636,103.938948
"TAMPINES, TAMPINES ST 43, block 493C, Singapore",1.3619094,103.9515341
"BUKIT PANJANG, SENJA RD, block 627, Singapore",1.3856534,103.759187
