,resale_price
0,292000.0
1,530000.0
2,345000.0
3,875000.0
4,298000.0
5,440000.0
6,523000.0
7,734000.0
8,450000.0
9,370000.0
10,508000.0
11,750000.0
12,656888.0
13,1200000.0
14,425000.0
15,373000.0
16,335000.0
17,658888.0
18,433000.0
19,255000.0
20,619000.0
21,438000.0
22,300000.0
23,508000.0
24,555000.0
25,603000.0
26,550000.0
27,375000.0
28,468000.0
29,460000.0
30,332000.0
31,470000.0
32,508000.0
33,930000.0
34,309000.0
35,520000.0
36,552000.0
37,606000.0
38,315000.0
39,363000.0
40,410000.0
41,823000.0
42,470000.0
43,768000.0
44,510000.0
45,217000.0
46,318000.0
47,530000.0
48,375000.0
49,350000.0
50,295000.0
51,305000.0
52,325000.0
53,650000.0
54,422000.0
55,485000.0
56,595000.0
57,500000.0
58,330000.0
59,460000.0
60,600000.0
61,560000.0
62,680000.0
63,670000.0
64,545000.0
65,400000.0
66,310000.0
67,668000.0
68,565000.0
69,515000.0
70,308000.0
71,539000.0
72,775000.0
73,500000.0
74,320000.0
75,457000.0
76,368000.0
77,373000.0
78,410000.0
79,510000.0
80,890000.0
81,480000.0
82,788888.0
83,480000.0
84,350000.0
85,650000.0
86,290000.0
87,500000.0
88,318000.0
89,465000.0
90,580000.0
91,420000.0
92,528000.0
93,720000.0
94,438000.0
95,358888.0
96,685000.0
97,386888.0
98,735000.0
99,680000.0
100,590000.0
101,400000.0
102,415000.0
103,863000.0
104,522000.0
105,270000.0
106,575500.0
107,728000.0
108,272000.0
109,487999.0
110,395000.0
111,605000.0
112,598100.0
113,560000.0
114,452000.0
115,575000.0
116,435000.0
117,525000.0
118,515000.0
119,570000.0
120,320000.0
121,440000.0
122,708000.0
123,350000.0
124,420000.0
125,928888.88
126,890000.0
127,410000.0
128,528000.0
129,588000.0
130,510000.0
131,335000.0
132,414000.0
133,245000.0
134,405000.0
135,708000.0
136,270000.0
137,263000.0
138,800000.0
139,580000.0
140,388000.0
141,740000.0
142,728000.0
143,463000.0
144,755000.0
145,340000.0
146,538000.0
147,320000.0
148,725000.0
149,443000.0
150,520000.0
151,500000.0
152,455000.0
153,273000.0
154,500000.0
155,290000.0
156,740000.0
157,357000.0
158,290000.0
159,585000.0
160,343000.0
161,695000.0
162,345000.0
163,800000.0
164,520000.0
165,490000.0
166,660000.0
167,460000.0
168,365000.0
169,360000.0
170,548888.0
171,368000.0
172,395000.0
173,435000.0
174,501000.0
175,533500.0
176,440888.0
177,570000.0
178,685000.0
179,430000.0
180,720000.0
181,418000.0
182,350000.0
183,446000.0
184,475000.0
185,375000.0
186,443000.0
187,915000.0
188,598000.0
189,290000.0
190,310000.0
191,733000.0
192,560000.0
193,447000.0
194,324000.0
195,347000.0
196,610000.0
197,608000.0
198,640000.0
199,399950.0
200,370000.0
201,395000.0
202,445000.0
203,670000.0
204,241000.0
205,540000.0
206,390000.0
207,373000.0
208,578000.0
209,440000.0
210,935000.0
211,410000.0
212,335000.0
213,458000.0
214,860000.0
215,650000.0
216,430000.0
217,518000.0
218,470000.0
219,405000.0
220,470000.0
221,335000.0
222,575000.0
223,422000.0
224,478000.0
225,410000.0
226,670000.0
227,315000.0
228,348000.0
229,370000.0
230,360000.0
231,410000.0
232,410000.0
233,700000.0
234,485000.0
235,488000.0
236,388000.0
237,253000.0
238,405000.0
239,388000.0
240,336000.0
241,308500.0
242,450000.0
243,278000.0
244,505000.0
245,465000.0
246,557000.0
247,930000.0
248,425000.0
249,310000.0
250,500000.0
251,1088888.0
252,398000.0
253,415000.0
254,500000.0
255,475000.0
256,640000.0
257,870000.0
258,680000.0
259,347500.0
260,343000.0
261,470000.0
262,430000.0
263,448888.0
264,802888.0
265,718000.0
266,420000.0
267,403000.0
268,538000.0
269,586000.0
270,618000.0
271,438000.0
272,390000.0
273,700000.0
274,788000.0
275,460000.0
276,355000.0
277,540000.0
278,351000.0
279,948000.0
280,397000.0
281,367000.0
282,970000.0
283,285000.0
284,750000.0
285,400000.0
286,360000.0
287,328000.0
288,580000.0
289,580000.0
290,250000.0
291,580888.0
292,450000.0
293,331000.0
294,322800.0
295,460000.0
296,280000.0
297,476800.0
298,355000.0
299,485000.0
300,770000.0
301,410000.0
302,565000.0
303,568000.0
304,630000.0
305,426000.0
306,533000.0
307,648000.0
308,670000.0
309,598000.0
310,260000.0
311,495000.0
312,383000.0
313,590000.0
314,970000.0
315,680000.0
