iter	RMSE
0	149471.6283
1	129720.7872
2	115264.7665
3	103522.0329
4	94453.66185
5	87485.10877
6	81109.83891
7	76458.37812
8	72747.60162
9	69161.77159
10	65985.4695
11	63276.12696
12	61542.40344
13	59973.67094
14	58462.5107
15	57402.73384
16	56355.5212
17	55341.66023
18	54548.06128
19	53821.65053
20	53201.03316
21	52780.83717
22	52365.08734
23	51548.64366
24	50874.9116
25	50559.76059
26	50133.9029
27	49308.01296
28	49076.58113
29	48686.13701
30	48396.14363
31	48025.74771
32	47465.11412
33	47020.25539
34	46770.97043
35	46451.71021
36	46278.50965
37	46129.80071
38	45750.03212
39	45372.70103
40	45221.02218
41	45062.02087
42	44757.3657
43	44634.34208
44	44244.86709
45	43847.37819
46	43529.5858
47	43337.84745
48	42977.82759
49	42634.94089
50	42528.32942
51	42223.97726
52	42054.93659
53	41922.1114
54	41760.75037
55	41653.21519
56	41436.86654
57	41144.48699
58	40992.98187
59	40899.867
60	40802.45433
61	40678.56013
62	40569.20344
63	40365.07608
64	40177.29072
65	40132.12286
66	39975.83532
67	39784.01319
68	39433.54981
69	39231.31203
70	39113.03183
71	38981.12843
72	38860.53919
73	38625.07044
74	38549.36446
75	38499.17465
76	38387.5313
77	38276.32839
78	38128.7433
79	37952.37524
80	37723.09826
81	37497.56651
82	37458.83863
83	37299.16667
84	37231.85579
85	37140.36066
86	37106.60445
87	37035.33478
88	36916.54405
89	36902.27269
90	36864.38346
91	36746.67293
92	36644.42814
93	36539.82829
94	36407.91757
95	36281.27557
96	36119.46841
97	35974.38174
98	35903.92236
99	35759.6987
100	35647.57348
101	35566.84038
102	35515.58355
103	35422.02471
104	35318.32883
105	35303.06475
106	35194.61365
107	35067.91725
108	34945.36342
109	34920.20359
110	34854.88381
111	34808.54429
112	34653.53418
113	34609.67714
114	34597.37405
115	34536.44935
116	34457.43673
117	34396.27986
118	34319.24722
119	34225.87598
120	34137.4041
121	34088.1531
122	34071.59591
123	34027.80847
124	33955.0213
125	33883.59228
126	33819.22275
127	33745.41162
128	33682.49273
129	33594.82949
130	33545.87986
131	33431.99601
132	33344.55134
133	33241.58019
134	33186.02727
135	33131.62792
136	33077.70689
137	33072.07719
138	33007.91765
139	32956.89798
140	32888.03847
141	32830.15537
142	32772.74514
143	32719.65521
144	32608.67731
145	32541.24431
146	32453.55254
147	32362.68508
148	32304.85125
149	32269.14324
150	32215.27548
151	32150.34487
152	32082.79674
153	32023.62612
154	31975.58394
155	31936.84662
156	31900.82756
157	31849.46077
158	31795.58389
159	31766.67665
160	31693.0246
161	31630.06723
162	31555.4965
163	31508.04236
164	31438.29647
165	31420.6036
166	31385.2119
167	31336.0135
168	31283.33563
169	31241.73315
170	31176.30545
171	31120.35475
172	31088.72715
173	31055.71066
174	31024.40073
175	30966.79657
176	30893.42537
177	30853.29151
178	30772.08739
179	30709.94757
180	30673.34392
181	30633.31112
182	30560.66049
183	30523.16641
184	30478.79038
185	30428.62296
186	30394.03214
187	30328.9594
188	30282.53874
189	30249.83543
190	30191.20232
191	30149.06249
192	30117.11378
193	30072.84628
194	30049.68076
195	30006.11046
196	29981.33388
197	29955.61688
198	29911.81186
199	29886.2741
200	29864.42598
201	29832.9989
202	29784.29522
203	29747.21406
204	29695.30828
205	29646.90697
206	29615.0655
207	29602.8861
208	29561.92423
209	29542.57316
210	29497.77198
211	29460.00888
212	29413.16081
213	29378.30609
214	29343.56437
215	29315.43688
216	29260.87749
217	29218.42152
218	29184.06326
219	29143.1484
220	29102.18849
221	29073.49601
222	28995.89436
223	28950.49019
224	28903.50252
225	28863.17987
226	28838.34402
227	28812.55324
228	28782.16496
229	28754.65006
230	28728.77924
231	28708.01951
232	28685.46403
233	28661.07138
234	28631.74017
235	28616.06754
236	28604.38247
237	28587.3424
238	28561.50162
239	28502.75366
240	28478.23353
241	28427.64895
242	28392.9464
243	28356.66395
244	28318.8312
245	28298.01874
246	28269.24331
247	28221.62779
248	28214.31932
249	28174.75413
250	28168.72296
251	28129.54362
252	28112.43113
253	28094.66497
254	28049.17363
255	28027.14289
256	27991.35989
257	27970.59434
258	27937.83766
259	27911.34431
260	27886.93468
261	27843.69443
262	27821.28615
263	27795.80163
264	27786.03664
265	27767.96628
266	27740.62076
267	27722.68896
268	27701.53592
269	27689.94893
270	27641.70275
271	27625.01091
272	27606.06466
273	27577.197
274	27554.84483
275	27528.01231
276	27499.18849
277	27479.7592
278	27458.76989
279	27421.3709
280	27394.93314
281	27369.59259
282	27338.1355
283	27316.91056
284	27300.4794
285	27293.04654
286	27262.85342
287	27226.19811
288	27203.41502
289	27141.69536
290	27137.2616
291	27127.56041
292	27108.79766
293	27084.01406
294	27063.75824
295	27038.15964
296	27023.38655
297	27004.53648
298	26977.5476
299	26967.41856
