iter	Passed	Remaining
0	2	621
1	4	607
2	5	561
3	7	552
4	9	550
5	11	542
6	12	539
7	14	537
8	16	535
9	18	529
10	19	524
11	21	520
12	23	516
13	25	517
14	27	517
15	29	518
16	30	513
17	32	507
18	33	502
19	35	499
20	37	495
21	38	491
22	40	488
23	42	487
24	44	485
25	45	481
26	47	478
27	48	475
28	50	471
29	52	469
30	53	466
31	55	463
32	56	460
33	58	457
34	60	455
35	62	455
36	63	453
37	65	451
38	67	449
39	69	450
40	71	449
41	72	448
42	75	448
43	76	445
44	78	443
45	80	442
46	81	440
47	83	439
48	85	437
49	87	436
50	89	434
51	90	432
52	92	431
53	94	430
54	96	428
55	98	427
56	99	425
57	101	425
58	103	423
59	105	421
60	107	422
61	109	419
62	111	417
63	112	415
64	114	414
65	116	412
66	118	410
67	119	408
68	121	406
69	123	404
70	125	403
71	126	400
72	128	399
73	130	397
74	131	395
75	133	392
76	134	390
77	136	389
78	138	387
79	140	385
80	141	383
81	143	382
82	145	379
83	147	378
84	149	377
85	150	375
86	152	373
87	154	371
88	155	369
89	157	367
90	159	365
91	160	363
92	162	362
93	164	360
94	166	359
95	168	357
96	170	356
97	172	354
98	174	353
99	175	351
100	177	349
101	179	347
102	180	345
103	182	343
104	184	341
105	185	340
106	187	338
107	189	336
108	190	334
109	192	332
110	194	331
111	196	329
112	197	327
113	199	325
114	201	324
115	203	322
116	205	320
117	206	318
118	208	317
119	210	315
120	211	313
121	213	311
122	215	309
123	216	307
124	218	306
125	220	304
126	222	302
127	224	301
128	225	299
129	227	297
130	229	295
131	230	293
132	232	292
133	234	290
134	236	288
135	237	286
136	240	285
137	241	284
138	243	282
139	245	280
140	247	279
141	249	277
142	251	275
143	252	273
144	254	272
145	256	270
146	258	268
147	259	266
148	261	265
149	263	263
150	265	261
151	267	260
152	268	258
153	270	256
154	272	254
155	274	253
156	276	252
157	278	250
158	280	248
159	282	246
160	283	245
161	285	243
162	287	241
163	289	240
164	291	238
165	293	236
166	294	234
167	296	233
168	298	231
169	300	229
170	301	227
171	305	227
172	307	225
173	310	224
174	311	222
175	313	220
176	315	219
177	317	217
178	319	215
179	321	214
180	322	212
181	324	210
182	326	209
183	328	207
184	330	205
185	332	203
186	334	201
187	335	200
188	337	198
189	339	196
190	340	194
191	342	192
192	344	190
193	345	188
194	347	187
195	349	185
196	350	183
197	352	181
198	354	179
199	356	178
200	357	176
201	359	174
202	361	172
203	363	170
204	365	169
205	366	167
206	368	165
207	370	163
208	371	161
209	373	160
210	375	158
211	376	156
212	378	154
213	380	152
214	381	151
215	383	149
216	385	147
217	387	145
218	389	143
219	390	142
220	392	140
221	394	138
222	396	136
223	398	135
224	399	133
225	401	131
226	403	129
227	405	127
228	406	126
229	408	124
230	410	122
231	412	120
232	414	119
233	416	117
234	418	115
235	419	113
236	421	112
237	423	110
238	425	108
239	426	106
240	428	104
241	430	103
242	431	101
243	433	99
244	435	97
245	437	95
246	438	94
247	440	92
248	442	90
249	444	88
250	445	87
251	447	85
252	449	83
253	451	81
254	452	79
255	454	78
256	456	76
257	458	74
258	460	72
259	462	71
260	464	69
261	465	67
262	467	65
263	469	64
264	471	62
265	472	60
266	474	58
267	476	56
268	477	55
269	479	53
270	481	51
271	483	49
272	485	48
273	487	46
274	489	44
275	491	42
276	493	40
277	494	39
278	496	37
279	498	35
280	499	33
281	501	32
282	503	30
283	505	28
284	507	26
285	509	24
286	510	23
287	512	21
288	514	19
289	516	17
290	517	16
291	519	14
292	521	12
293	523	10
294	525	8
295	526	7
296	528	5
297	530	3
298	531	1
299	533	0
